id,text,polarization,political,racial/ethnic,religious,gender/sexual,other
rus_000943418f4caad8476f745e3b988630,Новая сеточка  надеюсь тебя еще не скоро заметят политики и айти извращенцы,0,0,0,0,0,0
rus_000f6a5bb027d87d691b1826644ba7a0,@USER @USER Да уж  хохлы пиздец иностранцы,0,0,0,0,0,0
rus_0017d5606c5641875f617fed655ac193,@USER @USER Казахи и их предки(золотая орда) научили вас государственности! Уёбок ты  а вот жопу мыть так и не смогли научить!,1,0,1,0,0,0
rus_00331e8c4eb22da9a312a1b7c87b8e40,Тест на реакцию и быстроту выполнения: 29 сек: высший пилотаж 30-39 сек: выдающийся 40-59 сек: эксперт 60-79 сек: нормальный 80-99 сек: вы начали стареть 100-150 сек: старение Более 150 секунд: болезнь Альцгеймера. На ночь глядя зачислили в эксперты)),0,0,0,0,0,0
rus_0038010484531275d64bdb4a8d17e3e8,"Никто:
Абсолютно никто:
Турки: все хорошо  все нормально  сейчас будем драться",0,0,0,0,0,0
rus_0039403f991286bf2e9b1a19ddbbd7ad,"@USER Украинцы бы написали ""за д!тей"" на украинском..так что это рашисты..",1,1,0,0,0,0
rus_008ac84b18e38d12595d6113156c5de1,Вот эти все люди  которые жалуются на бан рукопожатий из-за вируса  действительно любят трогать других мужиков за руку? Отвратительная традиция.,0,0,0,0,0,0
rus_00ad89667285627392f748aa6fc9fcfc,Карантин — это такая клевая возможность наконец исполнить свою мечту и научиться бренчать на гитаре  но мне ничто не дается так сложно  как музыка  отвратительно,0,0,0,0,0,0
rus_00dd747a186309500790a2c2ab7e2379,"Некоторые элементы внедуальных энергий бытия были выражены в 21 главе  книги Откровения. 

По достижении внедуального сознания человек обретает новое понимание о мире  божественном бытии и природе реальности. 

Христиане  будьте к этому готовы в момент перехода.",0,0,0,0,0,0
rus_00de4d29619f87a221c6096bb441f824,шел 12 день карантина. я перемерила всю квартиру  вдоль и поперек  и поняла  насколько она маленькая.. #COVID19 #ЛГБТ #трнс,0,0,0,0,0,0
rus_01074a815d10212330a0fe3367db3581,@USER Так левые блять и обвиняют. Какого хера нельзя просто защищать ислам  без обсёра христианства?,1,1,0,1,0,0
